date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2013%20Jan%202021%2002:21:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/argon/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:37	7883/7883	---M--	200	added ('OK')	image/png	etag:%225e3ac276-1ecb%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/blue.png	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/blue.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:38	111537/111537	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2013:26:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:38	88099/88099	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2013:26:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/sortable.html	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/pages/tables/sortable.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:38	166436/166436	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-28a24%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-1.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-1.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:39	266315/266315	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-4104b%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-2.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-2.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:39	173325/173325	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-2a50d%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-3.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-3.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:39	124734/124734	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-1e73e%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-4.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-4.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:39	166436/166436	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-28a24%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-5.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/team-5.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:39	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-15851%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery/dist/jquery.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery/dist/jquery.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:40	80698/80698	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-13b3a%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:40	3886/3886	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-f2e%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/js-cookie/js.cookie.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/js-cookie/js.cookie.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:40	13041/13041	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-32f1%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery.scrollbar/jquery.scrollbar.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery.scrollbar/jquery.scrollbar.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:40	4636/4636	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-121c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery-scroll-lock/dist/jquery-scrollLock.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/jquery-scroll-lock/dist/jquery-scrollLock.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:41	82650/82650	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-142da%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net/js/jquery.dataTables.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:41	2085/2085	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-825%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-bs4/js/dataTables.bootstrap4.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-bs4/js/dataTables.bootstrap4.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:41	19510/19510	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-4c36%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/dataTables.buttons.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/dataTables.buttons.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:41	1043/1043	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-413%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons-bs4/js/buttons.bootstrap4.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons-bs4/js/buttons.bootstrap4.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:42	24531/24531	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-5fd3%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/buttons.html5.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/buttons.html5.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:42	26039/26039	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-65b7%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/buttons.flash.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/buttons.flash.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:42	2212/2212	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-8a4%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/buttons.print.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons/js/buttons.print.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:42	12062/12062	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-2f1e%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-select/js/dataTables.select.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-select/js/dataTables.select.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:43	26976/26976	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-6960%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/argon.min.js?v=1.2.0	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/js/argon.min5438.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:43	1660/1660	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-67c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/demo.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/js/demo.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:43	91651/91651	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Jan%202021%2002:21:45%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/argon/connect.facebook.net/en_US/fbevents.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:44	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:46%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/january.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/january.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:44	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:46%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/february.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/february.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:44	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:46%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/march.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/march.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:45	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:47%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/april.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/april.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:45	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:47%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/may.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/may.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:45	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:47%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/june.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/june.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:46	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:48%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/july.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/july.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:46	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:48%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/august.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/august.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:46	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:48%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/september.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/september.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:47	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:49%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/october.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/october.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:47	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:49%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/november.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/november.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:47	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:49%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/december.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/calendar/december.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0)
09:21:48	18083/18083	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-46a3%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/bootstrap.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/bootstrap.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html)
09:21:48	22527/22527	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-57ff%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/angular.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/angular.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html)
09:21:48	22085/22085	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-5645%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/sketch.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/sketch.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html)
09:21:48	25566/25566	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-63de%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/react.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/react.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html)
09:21:49	18469/18469	---M--	200	added ('OK')	image/jpeg	etag:%225e3ac276-4825%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/vue.jpg	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/theme/vue.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/tables.html)
09:21:49	18101/18101	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e3ac276-46b5%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/list.js/dist/list.min.js	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/list.js/dist/list.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/sortable.html)
09:21:50	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:52%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/POST	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/pages/tables/POST	(from http://connect.facebook.net/en_US/fbevents.js)
